1,Yifei Zhang,CHN,G,
2,Rui Sun,CHN,G,
3,Shichang Li,CHN,G,
4,Yongyan Han,CHN,G,
5,Xiaoyu Ouyang,CHN,G,
6,Ivan Kharichkin,RUS,G,
7,Maksim Pokrovskii,RUS,G,
8,Tatiana Emelianova,RUS,G,
9,Alexander Zenkovich,RUS,G,
10,Ivan Russkikh,RUS,G,
11,Artashes Gyoletsyan,ARM,G,
12,Wilsen Chandra Putra,IDN,G,
13,Peter Addison Sadhani,IDN,G,
14,Antonia Alma Ghita,ROU,G,
15,Jiatao Jerry Han,SGP,G,
16,Yang Shao,SGP,G,
17,Eu-Shaun Leong,SGP,G,
18,Viktor Fukala,CZE,S,
19,Tomasz Ślusarczyk,POL,S,
20,Wald Almog,ISR,S,
21,Vaibhav Raj,IND,S,
22,Ronald Doboš,SVK,S,
23,Timothy Ho Li Xiong,SGP,S,
24,Andrii Zahorodnii,UKR,S,
25,Sze Chun Lau,HKG,S,
26,Dušan Beguš,SRB,S,
27,Edward Yanyang Xu,HKG,S,
28,Khac Hai Long Nguyen,VNM,S,
29,Bernard Faulend,HRV,S,
30,Bayram Alp Şahin,TUR,S,
31,Konstantin Dukach,EST,S,
32,Dias Davi Maciel,BRA,S,
33,Shuhao Tian,SGP,S,
34,Eduard-Florin Burlacu,ROU,S,
35,Ngo Hoang Duong Vu,VNM,S,
36,George Cristian Ardeleanu,ROU,S,
37,Jaroslav Herman,CZE,S,
38,Rassul Magauin,KAZ,S,
39,George Chiriac,ROU,S,
40,Oleksii Ihnatenko,UKR,S,
41,Bastos de Almeida Alexandre Silva,BRA,S,
42,Simon Bukovšek,SVN,S,
43,Claudiu-Mihai Cotirlan,ROU,S,
44,Kaarel Kivisalu,EST,S,
45,Daler Pirov,TJK,S,
46,Bar Hillel Lior,ISR,S,
47,Minh Hoang Le,VNM,S,
48,Jozef Csipes,SVK,S,
49,Dao Cong Minh Trang,VNM,S,
50,Yunus Emre Parmaksız,TUR,S,
